PictureFile,Item,Tag
dinosaur.png,dinosaur,8
button.png,button,10
bed.png,bed,11
match.png,match,11
gorilla.png,gorrila,13
glasses.png,glasses,9
fan.png,fan,10
cigarette.png,cigarrette,12
key.png,key,14
belt.png,belt,9
tent.png,tent,13
mask.png,mask,8
drum.png,drum,12
girl.png,girl,13
plate.png,plate,13
wallet.png,wallet,11
pineapple.png,pineapple,10
can.png,can,13
guitar.png,guitar,8
binoculars.png,binoculars,13
flower.png,flower,9
spider.png,spider,14
roof.png,roof,9
basket.png,basket,11
tie.png,tie,13
bottle.png,bottle,11
fish.png,fish,10
cork.png,cork,10
tiger.png,tiger,12
book.png,book,13
saxophone.png,saxophone,14
ring.png,ring,12
soup.png,soup,8
peacock.png,peacock,10
whale.png,whale,10
eye.png,eye,8
towel.png,towel,11
bicycle.png,bicycle,12
skateboard.png,skateboard,12
grapes.png,grapes,9
shirt.png,shirt,11
cow.png,cow,9
mushroom.png,mushroom,10
shoe.png,shoe,8
swing.png,swing,12
shovel.png,shovel,11
popsicle.png,popsicle,14
sock.png,sock,10
candle.png,candle,8
dog.png,dog,13
magnet.png,magnet,10
owl.png,owl,13
dustpan.png,dustpan,12
umbrella.png,umbrella,10
dress.png,dress,14
lightning.png,lightning,12
popcorn.png,popcorn,9
hamburger.png,hamburger,14
helmet.png,helmet,14
lettuce.png,lettuce,11
microscope.png,microscope,12
bat.png,bat,13
cheese.png,cheese,11
axe.png,axe,12
gun.png,gun,11
cross.png,cross,13
goat.png,goat,11
fire.png,fire,13
heart.png,heart,12
plant.png,plant,8
gift.png,gift,10
stove.png,stove,14
turtle.png,turtle,14
column.png,column,12
package.png,package,13
nest.png,nest,9
telephone.png,telephone,10
sheep.png,sheep,12
skunk.png,skunk,12
watermelon.png,watermelon,14
helicopter.png,helicopter,14
peas.png,peas,9
rocket.png,rocket,10
pig.png,pig,11
barrel.png,barrel,14
box.png,box,8
toaster.png,toaster,8
lizard.png,lizard,14
butter.png,butter,13
corn.png,corn,8
pumpkin.png,pumpkin,11
arrow.png,arrow,8
deer.png,deer,10
desk.png,desk,11
cake.png,cake,9
leg.png,leg,10
arm.png,arm,14
suitcase.png,suitcase,13
cat.png,cat,9
earring.png,earring,11
scissors.png,scissors,9
rock.png,rock,8
broom.png,broom,9
tomato.png,tomato,8
hat.png,hat,11
celery.png,celery,14
monkey.png,monkey,9
snake.png,snake,9
vacuum.png,vacuum,14
microphone.png,microphone,10
motorcycle.png,motorcycle,14
trafficlight.png,trafficlight,12
peanut.png,peanut,12
lobster.png,lobster,9
octopus.png,octopus,8
bear.png,bear,8
baby.png,baby,11
airplane.png,airplane,13
ball.png,ball,9
lemon.png,lemon,8
sword.png,sword,10
lion.png,lion,13
worm.png,worm,8
coat.png,coat,14
brush.png,brush,11
whistle.png,whistle,11
volcano.png,volcano,13
car.png,car,12
rain.png,rain,13
rabbit.png,rabbit,8
carrot.png,carrot,8
tea.png,tea,9
moon.png,moon,12
rug.png,rug,14
parachute.png,parachute,12
jar.png,jar,10
fountain.png,fountain,14
squirrel.png,squirrel,9
iron.png,iron,9
glove.png,glove,10
